year,country,normalizedviirs,normalizedviirsaverage
2012,iran,278104.0289646504,30900.447662738934
2013,iran,349119.88185465225,29093.323487887686
2014,iran,191684.744334532,15973.728694544334
2015,iran,193538.0864602769,16128.173871689743
2016,iran,177329.43852762852,14777.45321063571
2017,iran,431863.3182871888,35988.609857265736
2018,iran,462824.1533859232,38568.67944882693
2019,iran,234900.7251943652,58725.1812985913
2012,indonesia,105667.98631835023,11740.887368705582
2013,indonesia,353884.3270430987,29490.36058692489
2014,indonesia,217496.5002765531,18124.708356379426
2015,indonesia,314997.4146584986,26249.784554874885
2016,indonesia,264706.8683368902,22058.90569474085
2017,indonesia,454753.8578059136,37896.15481715947
2018,indonesia,519605.7940191012,43300.4828349251
2019,indonesia,125725.54796519494,31431.386991298736
2012,russia,486085.29618794174,54009.47735421575
2013,russia,434596.94478837383,36216.41206569782
2014,russia,1109970.038302485,92497.50319187374
2015,russia,1242929.6390904705,103577.46992420587
2016,russia,912260.5843321977,76021.71536101647
2017,russia,1139130.108256505,94927.50902137543
2018,russia,640669.874899467,53389.15624162225
2019,russia,334371.1923033702,83592.79807584255
2012,japan,1097428.282195136,121936.47579945956
2013,japan,1569627.9924801097,130802.3327066758
2014,japan,2824769.463648835,235397.4553040696
2015,japan,2604274.751447123,217022.89595392693
2016,japan,1553018.0340193661,129418.16950161384
2017,japan,1980452.31252979,165037.69271081584
2018,japan,2431748.0754042305,202645.67295035254
2019,japan,965773.6718894315,241443.41797235789
2012,india,2055498.6678007368,228388.74086674853
2013,india,2140816.312597132,178401.35938309433
2014,india,1885872.3591329416,157156.02992774514
2015,india,2081866.502039321,173488.8751699434
2016,india,2965282.614137727,247106.88451147723
2017,india,3878206.28665015,323183.8572208458
2018,india,5589882.296353081,465823.5246960901
2019,india,3577992.505979046,894498.1264947616
2012,china,3760574.3046875964,417841.58940973296
2013,china,4782107.151223606,398508.9292686339
2014,china,4468134.027403142,372344.5022835952
2015,china,5028344.690038268,419028.7241698557
2016,china,4587370.814093578,382280.9011744648
2017,china,10279932.927988837,856661.077332403
2018,china,9115041.127854757,759586.7606545631
2019,china,2427227.548974214,606806.8872435535
2012,korea,518172.65747751703,57574.739719724115
2013,korea,1013061.7127726921,84421.80939772434
2014,korea,934601.6661859232,77883.47218216026
2015,korea,920258.2319997244,76688.18599997704
2016,korea,918356.802367995,76529.73353066626
2017,korea,1894088.456640349,157840.70472002908
2018,korea,1441880.2546377084,120156.6878864757
2019,korea,466986.8431232436,116746.7107808109
